"Date" "US" "Japan" "Google" "Microsoft" "Amazon" "Apple" "China" "Germany"
"1" 2020-03-02 26703.300781 21344.080078 1389.109985 172.310104 1953.949951 298.003296 10921.150391 11857.870117
"2" 2020-03-03 25917.400391 21082.730469 1341.390015 164.053101 1908.98999 288.53894 11484.209961 11985.389648
"3" 2020-03-04 27090.900391 21100.060547 1386.52002 170.076324 2410.389893 301.922699 11493.019531 12127.69043
"4" 2020-03-05 26121.300781 21329.119141 1319.040039 165.808212 1924.030029 292.129211 10682.700195 11944.719727
"5" 2020-03-06 25864.800781 20133.730469 1298.410034 161.121277 1901.089966 288.249725 11582.820313 11541.870117
"6" 2020-03-09 23851 19698.759766 1215.560059 150.201675 1800.609985 265.451447 11108.549805 9232.080078
"7" 2020-03-10 25018.199219 19867.119141 1280.390015 160.473068 1891.819946 288.53894 11403.469727 10475.490234
"8" 2020-03-11 23553.199219 19416.060547 1215.410034 153.203323 1820.859985 274.686432 10155.360352 10438.679688
"9" 2020-03-12 21200.599609 18559.630859 1114.910034 138.673782 1676.609985 247.55986 10941.009766 9161.129883
"10" 2020-03-13 23185.599609 17431.050781 1219.72998 158.38887 1785 277.219574 10831.129883 9232.080078
"11" 2020-03-16 20188.5 17002.039063 1084.329956 135.043884 1689.150024 241.556122 10253.280273 8742.25
"12" 2020-03-17 21237.400391 17011.529297 1119.800049 146.162933 1807.839966 252.177368 10202.75 8939.099609
"13" 2020-03-18 19898.900391 16726.550781 1096.800049 140.010056 1830 246.004074 10029.570313 8441.709961
"14" 2020-03-19 20087.199219 16552.830078 1115.290039 142.31366 1880.930054 244.119171 10019.860352 8610.429688
"15" 2020-03-23 18591.900391 16887.779297 1056.619995 135.602341 1902.829956 223.764267 9691.530273 8741.150391
"16" 2020-03-24 20704.900391 18092.349609 1134.459961 147.928009 1940.099976 246.213516 9921.679688 9700.570313
"17" 2020-03-25 21200.599609 19546.630859 1102.48999 146.511948 1885.839966 244.857178 10241.080078 9700.570313
"18" 2020-03-26 22552.199219 18664.599609 1161.75 155.676437 1955.48999 257.74231 10155.360352 10000.959961
"19" 2020-03-27 21636.800781 19389.429688 1110.709961 149.284225 1900.099976 247.071182 10109.910156 9632.519531
"20" 2020-03-30 22327.5 18664.599609 1146.819946 159.784988 1963.949951 254.122101 9904.950195 9815.969727
"21" 2020-03-31 21917.199219 18917.009766 1162.810059 157.271988 1949.719971 253.6035 10155.360352 9935.839844
"22" 2020-04-01 20943.5 18065.410156 1105.619995 151.687546 1907.699951 240.259628 9951.839844 9570.820313
"23" 2020-04-02 21413.400391 17818.720703 1120.839966 154.828781 1918.829956 244.268768 10179.200195 9570.820313
"24" 2020-04-03 21052.5 17820.189453 1097.880005 153.402771 1906.589966 240.75827 10110.110352 9525.769531
"25" 2020-04-07 22653.900391 18950.179688 1186.51001 163.035934 2011.599976 258.729614 10155.360352 10356.700195
"26" 2020-04-08 23475.800781 19353.240234 1210.280029 164.671387 2043 265.351715 10386.549805 10332.889648
"27" 2020-04-09 23719.400391 19345.769531 1211.449951 164.681351 2042.76001 267.26651 10475.709961 10564.740234
"28" 2020-04-14 23949.800781 19638.810547 1269.22998 173.217575 2283.320068 286.275055 10475.709961 10696.55957
"29" 2020-04-15 23504.300781 19550.089844 1262.469971 171.402634 2307.679932 283.66214 10417.370117 10659.990234
"30" 2020-04-16 23537.699219 19290.199219 1263.469971 176.548294 2408.189941 285.916046 10470.790039 10301.540039
"31" 2020-04-17 24242.5 19897.259766 1283.25 178.103973 2375 282.03653 10475.709961 10625.780273
"32" 2020-04-20 23650.400391 19669.119141 1266.609985 174.573792 2393.610107 276.182373 10621.5 10675.900391
"33" 2020-04-21 23018.900391 19280.779297 1216.339966 167.353912 2328.120117 267.645477 10506.860352 10513.790039
"34" 2020-04-22 23475.800781 19137.949219 1263.209961 173.038086 2363.48999 275.354614 10617.19043 10415.030273
"35" 2020-04-23 23515.300781 19429.439453 1276.310059 170.943909 2399.449951 274.287506 10564.049805 10513.790039
"36" 2020-04-24 23775.300781 19262 1279.310059 174.065216 2410.219971 282.206085 10564.049805 10336.089844
"37" 2020-04-27 24133.800781 19783.220703 1275.880005 173.566605 2376 282.405548 10452.169922 10659.990234
"38" 2020-04-28 24101.5 19771.189453 1233.670044 169.338379 2314.080078 277.827911 10475.709961 10795.629883
"39" 2020-04-30 24345.699219 20193.689453 1348.660034 178.71228 2474 293.006836 10721.780273 10861.639648
"40" 2020-05-07 23875.900391 19674.769531 1372.560059 183.090088 2367.610107 309.540009 10863.290039 10759.269531
"41" 2020-05-11 24222 20390.660156 1403.26001 186.221359 2409 315.01001 10969.280273 11058.870117
"42" 2020-05-12 23764.800781 20366.480469 1375.73999 182.003098 2356.949951 311.410004 11015.55957 11058.870117
"43" 2020-05-13 23248 20133.730469 1349.329956 179.250778 2367.919922 307.649994 11074.589844 10542.660156
"44" 2020-05-14 23625.300781 19914.779297 1356.130005 180.02861 2388.850098 309.540009 10962.150391 10337.019531
"45" 2020-05-15 23685.400391 20037.470703 1373.189941 180.02861 2409.780029 307.709991 10964.889648 10465.169922
"46" 2020-05-18 24597.400391 20133.730469 1383.939941 184.396439 2426.26001 314.959991 10921.150391 11058.870117
"47" 2020-05-19 24206.900391 20433.449219 1373.484985 183.119995 2449.330078 313.140015 10721.780273 11075.290039
"48" 2020-05-20 24575.900391 20595.150391 1406.719971 185.660004 2497.939941 319.230011 10948.480469 11058.870117
"49" 2020-05-21 24474.099609 20552.310547 1383.939941 183.429993 2446.73999 316.850006 10845.400391 11065.929688
"50" 2020-05-22 24465.199219 20388.160156 1410.420044 183.509995 2436.879883 318.890015 10604.969727 11073.870117
"51" 2020-05-26 24995.099609 21271.169922 1417.02002 181.570007 2421.860107 316.730011 10682.700195 11504.650391
"52" 2020-05-27 25548.300781 21419.230469 1417.839966 181.809998 2410.389893 318.109985 10682.700195 11657.69043
"53" 2020-05-28 25400.599609 21916.310547 1416.72998 181.399994 2401.100098 318.109985 10653.490234 11781.129883
"54" 2020-05-29 25383.099609 20388.160156 1428.920044 183.25 2442.370117 317.940002 10746.080078 11586.849609
